plastic_type,microorganism,degradation_rate,days,temperature,pH
Polypropylene,Fusarium solani,59,14,33,9
Polyethylene,Thermobifida fusca,55,231,11,5
Nylon,Acidithiobacillus ferrooxidans,34,157,38,8
Polyethylene Terephthalate (PET),Exiguobacterium sp.,29,134,37,5
Polycarbonate,Ideonella sakaiensis,53,37,36,8
Polypropylene,Citrobacter koseri,35,53,17,6
Polypropylene,Aspergillus niger,54,18,10,9
Polyurethane,Alcanivorax borkumensis,88,38,40,9
Polyurethane,Thermobifida fusca,79,187,10,5
Polystyrene,Streptomyces coelicolor,57,196,13,6
Polyethylene,Sulfolobus acidocaldarius,82,243,16,7
Polyethylene,Citrobacter koseri,64,300,18,9
Polyvinyl Chloride,Halomonas titanicae,68,303,25,6
Polyethylene,Citrobacter koseri,50,35,14,6
Polyurethane,Sulfolobus acidocaldarius,21,215,11,5
Nylon,Sulfolobus acidocaldarius,87,219,37,6
Polyethylene,Exiguobacterium sp.,100,316,32,6
Polyurethane,Ochrobactrum sp.,52,90,20,7
Polystyrene,Citrobacter koseri,99,308,27,5
Polypropylene,Acidithiobacillus ferrooxidans,35,252,34,5
Polyethylene,Citrobacter koseri,67,8,34,6
Polystyrene,Ideonella sakaiensis,35,256,28,7
Polypropylene,Ideonella sakaiensis,51,363,22,8
Polycarbonate,Bacillus subtilis,52,208,33,9
Polycarbonate,Exiguobacterium sp.,81,131,20,5
Polypropylene,Pseudomonas aeruginosa,49,224,29,7
Polyethylene,Pseudomonas aeruginosa,79,197,28,7
Polyvinyl Chloride,Bacillus subtilis,40,142,26,6
Polyurethane,Fusarium solani,17,252,14,9
Nylon,Pseudomonas aeruginosa,21,96,22,5
Nylon,Ideonella sakaiensis,65,26,39,8
Polyethylene Terephthalate (PET),Bacillus subtilis,20,111,36,6
Polypropylene,Bacillus alcalophilus,99,123,29,5
Nylon,Ochrobactrum sp.,43,186,10,5
Polyethylene,Ochrobactrum sp.,46,168,19,7
Polyvinyl Chloride,Acidithiobacillus ferrooxidans,38,51,17,9
Polypropylene,Citrobacter koseri,28,5,33,8
Polyvinyl Chloride,Acidithiobacillus ferrooxidans,53,77,38,9
Polyethylene,Bacillus subtilis,89,160,17,7
Nylon,Thermobifida fusca,84,208,28,8
Nylon,Aspergillus niger,16,257,15,8
Polyethylene Terephthalate (PET),Citrobacter koseri,79,205,21,6
Nylon,Bacillus alcalophilus,59,255,37,8
Polypropylene,Bacillus alcalophilus,30,11,16,5
Polyethylene,Acidithiobacillus ferrooxidans,72,8,25,9
Polycarbonate,Streptomyces coelicolor,94,32,18,9
Polyethylene,Citrobacter koseri,77,28,30,6
Polypropylene,Alcanivorax borkumensis,48,206,34,8
Polypropylene,Bacillus alcalophilus,100,228,31,7
Polyethylene Terephthalate (PET),Ochrobactrum sp.,1,128,19,5
Polyethylene Terephthalate (PET),Aspergillus niger,47,255,19,6
Nylon,Ochrobactrum sp.,13,212,19,8
Polystyrene,Exiguobacterium sp.,58,239,29,7
Polyethylene,Fusarium solani,96,207,38,8
Polyethylene,Thermobifida fusca,98,318,25,6
Polystyrene,Streptomyces coelicolor,57,283,10,7
Polyethylene Terephthalate (PET),Exiguobacterium sp.,57,245,26,7
Nylon,Streptomyces coelicolor,50,45,39,7
Polystyrene,Ochrobactrum sp.,83,105,35,7
Nylon,Ideonella sakaiensis,1,348,30,8
Nylon,Aspergillus niger,40,281,38,7
Nylon,Ochrobactrum sp.,82,234,23,8
Polyurethane,Ideonella sakaiensis,100,189,28,7
Polypropylene,Acidithiobacillus ferrooxidans,81,44,30,7
Nylon,Sulfolobus acidocaldarius,15,225,30,6
Polyurethane,Citrobacter koseri,3,142,26,8
Polyethylene Terephthalate (PET),Ochrobactrum sp.,11,136,23,8
Polystyrene,Ideonella sakaiensis,28,176,17,9
Polypropylene,Bacillus subtilis,6,142,30,6
Polycarbonate,Halomonas titanicae,13,80,30,8
Polystyrene,Alcanivorax borkumensis,11,82,18,6
Polypropylene,Exiguobacterium sp.,98,135,17,6
Polycarbonate,Citrobacter koseri,4,207,22,6
Polystyrene,Alcanivorax borkumensis,80,344,26,5
Polypropylene,Sulfolobus acidocaldarius,31,177,28,8
Polystyrene,Thermobifida fusca,73,243,37,6
Polystyrene,Thermobifida fusca,42,55,16,5
Polycarbonate,Halomonas titanicae,80,141,26,5
Polystyrene,Alcanivorax borkumensis,68,56,10,7
Polystyrene,Alcanivorax borkumensis,44,15,14,7
Polycarbonate,Exiguobacterium sp.,8,185,34,8
Polyethylene Terephthalate (PET),Pseudomonas aeruginosa,48,314,15,7
Nylon,Halomonas titanicae,32,88,35,8
Polyethylene,Citrobacter koseri,99,97,11,5
Polyvinyl Chloride,Sulfolobus acidocaldarius,99,144,36,5
Polyurethane,Halomonas titanicae,17,8,34,8
Polyvinyl Chloride,Acidithiobacillus ferrooxidans,8,215,25,7
Polyvinyl Chloride,Aspergillus niger,61,173,31,7
Polypropylene,Acidithiobacillus ferrooxidans,56,223,14,8
Nylon,Pseudomonas aeruginosa,28,40,14,9
Polypropylene,Aspergillus niger,77,182,40,7
Nylon,Sulfolobus acidocaldarius,24,270,21,6
Polycarbonate,Thermobifida fusca,14,187,12,7
Polycarbonate,Exiguobacterium sp.,5,245,39,9
Polyethylene,Exiguobacterium sp.,41,309,25,5
Nylon,Ideonella sakaiensis,28,231,15,5
Polystyrene,Sulfolobus acidocaldarius,78,155,24,5
Polyethylene Terephthalate (PET),Streptomyces coelicolor,92,175,24,7
Polyethylene,Thermobifida fusca,3,336,38,5
Polyethylene,Sulfolobus acidocaldarius,81,115,25,9
Polystyrene,Acidithiobacillus ferrooxidans,56,311,29,9
Polyethylene Terephthalate (PET),Pseudomonas aeruginosa,48,300,22,7
Polypropylene,Ochrobactrum sp.,43,18,21,6
Polyethylene Terephthalate (PET),Bacillus alcalophilus,79,272,19,7
Polypropylene,Exiguobacterium sp.,74,12,23,5
Polycarbonate,Fusarium solani,13,301,40,7
Polyvinyl Chloride,Pseudomonas aeruginosa,2,192,11,9
Polycarbonate,Ochrobactrum sp.,61,232,38,7
Polycarbonate,Bacillus subtilis,63,93,12,7
Polyvinyl Chloride,Pseudomonas aeruginosa,44,218,18,6
Polyethylene Terephthalate (PET),Pseudomonas aeruginosa,81,278,20,9
Polyethylene,Thermobifida fusca,57,353,20,8
Polyethylene Terephthalate (PET),Ideonella sakaiensis,19,303,34,8
Polypropylene,Alcanivorax borkumensis,57,29,31,9
Polystyrene,Pseudomonas aeruginosa,88,301,19,8
Polypropylene,Ideonella sakaiensis,56,77,35,5
Polystyrene,Exiguobacterium sp.,76,9,23,8
Polycarbonate,Bacillus alcalophilus,67,24,18,5
Polyvinyl Chloride,Bacillus alcalophilus,77,15,29,9
Polycarbonate,Pseudomonas aeruginosa,96,164,36,8
Nylon,Bacillus subtilis,91,13,30,8
Polyethylene Terephthalate (PET),Aspergillus niger,51,347,19,5
Polystyrene,Exiguobacterium sp.,36,172,31,5
Polypropylene,Ideonella sakaiensis,7,357,38,7
Polyvinyl Chloride,Exiguobacterium sp.,43,327,40,6
Polystyrene,Bacillus subtilis,97,200,18,8
Polypropylene,Halomonas titanicae,4,76,38,6
Polyethylene Terephthalate (PET),Acidithiobacillus ferrooxidans,68,164,14,6
Polycarbonate,Bacillus subtilis,30,61,17,8
Polyethylene Terephthalate (PET),Ideonella sakaiensis,44,245,20,5
Polyurethane,Thermobifida fusca,8,155,10,7
Nylon,Bacillus subtilis,31,257,30,9
Polyurethane,Ideonella sakaiensis,32,244,19,8
Polyvinyl Chloride,Citrobacter koseri,66,162,10,8
Polystyrene,Streptomyces coelicolor,29,68,35,9
Polyvinyl Chloride,Ideonella sakaiensis,75,344,39,6
Polycarbonate,Bacillus subtilis,28,277,31,7
Polypropylene,Streptomyces coelicolor,2,161,16,6
Polyethylene Terephthalate (PET),Thermobifida fusca,89,259,37,9
Polyurethane,Thermobifida fusca,56,307,23,9
Polyethylene,Ideonella sakaiensis,29,335,14,7
Polyurethane,Ideonella sakaiensis,8,95,26,9
Polycarbonate,Aspergillus niger,25,246,31,9
Polyurethane,Streptomyces coelicolor,1,221,35,7
Polycarbonate,Halomonas titanicae,61,123,30,8
Polyethylene,Bacillus subtilis,2,187,15,6
Polyvinyl Chloride,Bacillus subtilis,45,262,25,8
Polyethylene Terephthalate (PET),Sulfolobus acidocaldarius,67,273,20,8
Polystyrene,Streptomyces coelicolor,24,60,19,6
Polypropylene,Exiguobacterium sp.,50,125,24,8
Polystyrene,Bacillus subtilis,12,337,16,7
Polyvinyl Chloride,Ochrobactrum sp.,43,341,32,6
Polypropylene,Thermobifida fusca,34,51,11,5
Polyurethane,Acidithiobacillus ferrooxidans,54,178,40,8
Polyethylene,Sulfolobus acidocaldarius,86,139,21,9
Polyethylene,Streptomyces coelicolor,8,327,28,6
Nylon,Exiguobacterium sp.,1,170,21,5
Polyvinyl Chloride,Exiguobacterium sp.,60,39,25,9
Polyvinyl Chloride,Thermobifida fusca,40,69,15,5
Polyethylene Terephthalate (PET),Ochrobactrum sp.,43,236,12,8
Polystyrene,Pseudomonas aeruginosa,63,48,11,9
Polyvinyl Chloride,Bacillus alcalophilus,30,57,29,8
Polyvinyl Chloride,Aspergillus niger,46,277,14,9
Polyurethane,Halomonas titanicae,1,338,20,6
Polyurethane,Alcanivorax borkumensis,95,99,35,7
Polypropylene,Thermobifida fusca,81,15,34,7
Polycarbonate,Bacillus subtilis,76,325,12,5
Polycarbonate,Citrobacter koseri,68,179,12,9
Nylon,Streptomyces coelicolor,57,332,31,8
Polycarbonate,Streptomyces coelicolor,43,62,14,6
Polyethylene Terephthalate (PET),Sulfolobus acidocaldarius,73,119,31,6
Nylon,Sulfolobus acidocaldarius,55,37,32,6
Polypropylene,Ideonella sakaiensis,42,134,20,7
Polyurethane,Citrobacter koseri,88,26,12,8
Polycarbonate,Streptomyces coelicolor,33,8,40,6
Polystyrene,Fusarium solani,100,4,22,6
Polyurethane,Halomonas titanicae,29,21,30,5
Polyethylene,Ideonella sakaiensis,70,149,17,9
Polyethylene Terephthalate (PET),Ideonella sakaiensis,69,25,29,9
Polyurethane,Thermobifida fusca,54,143,19,9
Polyethylene Terephthalate (PET),Streptomyces coelicolor,66,245,11,5
Polyethylene Terephthalate (PET),Bacillus subtilis,12,43,13,7
Polyethylene Terephthalate (PET),Bacillus alcalophilus,2,293,27,5
Polypropylene,Citrobacter koseri,25,185,28,6
Polyethylene Terephthalate (PET),Ideonella sakaiensis,56,42,13,8
Polyethylene Terephthalate (PET),Bacillus subtilis,23,92,29,6
Polyethylene,Fusarium solani,52,317,35,6
Polystyrene,Halomonas titanicae,69,324,18,8
Nylon,Streptomyces coelicolor,42,53,25,9
Polyvinyl Chloride,Alcanivorax borkumensis,59,84,35,5
Polyethylene,Pseudomonas aeruginosa,57,34,15,7
Nylon,Bacillus subtilis,48,76,34,6
Polyethylene Terephthalate (PET),Ochrobactrum sp.,41,353,13,6
Polystyrene,Bacillus alcalophilus,75,197,18,7
Polyurethane,Alcanivorax borkumensis,99,286,36,5
Polystyrene,Acidithiobacillus ferrooxidans,65,88,22,6
Polyethylene,Sulfolobus acidocaldarius,10,235,18,7
Polyethylene Terephthalate (PET),Thermobifida fusca,97,232,15,6
Polystyrene,Bacillus subtilis,89,7,30,9
Polycarbonate,Sulfolobus acidocaldarius,17,292,28,9
Polystyrene,Streptomyces coelicolor,84,38,23,6
Polyethylene Terephthalate (PET),Sulfolobus acidocaldarius,99,52,40,6
Polypropylene,Acidithiobacillus ferrooxidans,51,143,30,9
Polycarbonate,Bacillus alcalophilus,45,221,24,6
Polystyrene,Halomonas titanicae,43,240,12,5
Polyvinyl Chloride,Exiguobacterium sp.,21,143,14,5
Polyvinyl Chloride,Aspergillus niger,52,349,30,8
Polystyrene,Citrobacter koseri,58,363,27,5
Polypropylene,Halomonas titanicae,93,49,23,6
Polyurethane,Exiguobacterium sp.,29,277,25,6
Polyethylene Terephthalate (PET),Fusarium solani,7,271,23,7
Polyvinyl Chloride,Ochrobactrum sp.,97,14,18,5
Polyurethane,Bacillus subtilis,56,298,24,9
Polystyrene,Bacillus subtilis,72,15,16,9
Polyethylene,Ideonella sakaiensis,19,234,23,8
Polyurethane,Bacillus alcalophilus,24,63,15,7
Polycarbonate,Bacillus subtilis,18,196,30,9
Nylon,Alcanivorax borkumensis,4,27,24,8
Polyvinyl Chloride,Exiguobacterium sp.,74,93,29,5
Polystyrene,Bacillus alcalophilus,78,105,17,7
Polyethylene,Pseudomonas aeruginosa,71,309,11,7
Polyethylene Terephthalate (PET),Alcanivorax borkumensis,82,52,17,6
Polyethylene,Bacillus subtilis,86,319,10,5
Polypropylene,Sulfolobus acidocaldarius,26,181,35,7
Polycarbonate,Acidithiobacillus ferrooxidans,39,57,26,8
Polystyrene,Sulfolobus acidocaldarius,95,120,28,9
Polyethylene Terephthalate (PET),Alcanivorax borkumensis,25,308,14,5
Polypropylene,Fusarium solani,26,363,39,5
Polypropylene,Bacillus subtilis,61,43,31,7
Polystyrene,Thermobifida fusca,82,135,29,7
Polycarbonate,Fusarium solani,49,260,25,7
Polyurethane,Fusarium solani,41,197,16,8
Polyurethane,Exiguobacterium sp.,28,133,16,6
Polypropylene,Citrobacter koseri,38,255,27,7
Polyurethane,Exiguobacterium sp.,59,220,27,6
Nylon,Streptomyces coelicolor,40,336,11,6
Polypropylene,Aspergillus niger,32,41,24,5
Polypropylene,Alcanivorax borkumensis,82,255,23,9
Polyethylene Terephthalate (PET),Halomonas titanicae,100,2,40,9
Polyurethane,Aspergillus niger,82,195,27,8
Polycarbonate,Thermobifida fusca,96,242,38,8
Polypropylene,Pseudomonas aeruginosa,15,149,18,9
Polyethylene,Acidithiobacillus ferrooxidans,22,198,23,9
Polycarbonate,Exiguobacterium sp.,6,299,14,5
Nylon,Exiguobacterium sp.,25,245,20,5
Polyethylene Terephthalate (PET),Bacillus alcalophilus,95,338,17,9
Polystyrene,Thermobifida fusca,11,108,14,7
Polycarbonate,Aspergillus niger,71,212,38,7
Polypropylene,Ideonella sakaiensis,4,156,20,5
Nylon,Ochrobactrum sp.,91,26,14,6
Polyvinyl Chloride,Ochrobactrum sp.,68,82,26,9
Nylon,Bacillus alcalophilus,48,83,31,8
Nylon,Halomonas titanicae,25,131,13,7
Polyethylene Terephthalate (PET),Bacillus alcalophilus,4,329,24,6
Polystyrene,Aspergillus niger,21,100,28,7
Polyvinyl Chloride,Alcanivorax borkumensis,78,256,31,6
Polyurethane,Bacillus subtilis,12,49,11,9
Polyurethane,Bacillus subtilis,27,63,33,9
Polycarbonate,Thermobifida fusca,32,311,26,9
Nylon,Acidithiobacillus ferrooxidans,22,290,21,5
Polyethylene,Pseudomonas aeruginosa,96,105,34,6
Polyethylene Terephthalate (PET),Exiguobacterium sp.,17,105,33,8
Polyethylene,Halomonas titanicae,29,325,26,8
Polyethylene Terephthalate (PET),Ochrobactrum sp.,25,15,19,9
Polyurethane,Exiguobacterium sp.,15,175,37,8
Polycarbonate,Streptomyces coelicolor,76,259,40,7
Polycarbonate,Acidithiobacillus ferrooxidans,38,211,34,6
Polycarbonate,Pseudomonas aeruginosa,32,259,27,6
Polyvinyl Chloride,Citrobacter koseri,25,102,28,6
Polystyrene,Ochrobactrum sp.,47,260,27,7
Polyvinyl Chloride,Ideonella sakaiensis,64,344,22,5
Polypropylene,Ideonella sakaiensis,37,159,23,7
Polypropylene,Bacillus alcalophilus,1,45,33,6
Polyethylene,Sulfolobus acidocaldarius,5,301,25,6
Polystyrene,Aspergillus niger,45,251,27,6
Polyurethane,Exiguobacterium sp.,49,331,35,8
Polystyrene,Bacillus alcalophilus,37,165,27,5
Polyethylene Terephthalate (PET),Halomonas titanicae,87,193,25,7
Polypropylene,Exiguobacterium sp.,17,9,40,6
Nylon,Citrobacter koseri,26,65,26,9
Nylon,Bacillus subtilis,40,282,16,5
Polyurethane,Pseudomonas aeruginosa,71,181,21,9
Polyethylene Terephthalate (PET),Acidithiobacillus ferrooxidans,91,282,11,5
Polyethylene,Pseudomonas aeruginosa,73,279,19,6
Polyvinyl Chloride,Bacillus subtilis,16,30,14,5
Polyethylene Terephthalate (PET),Exiguobacterium sp.,61,266,30,5
Nylon,Halomonas titanicae,28,328,12,6
Nylon,Pseudomonas aeruginosa,57,217,28,9
Polyethylene,Ideonella sakaiensis,69,320,22,9
Polypropylene,Pseudomonas aeruginosa,77,105,21,8
Polyethylene Terephthalate (PET),Citrobacter koseri,21,184,12,9
Polyethylene Terephthalate (PET),Ochrobactrum sp.,5,330,15,9
Nylon,Aspergillus niger,25,148,23,5
Polyvinyl Chloride,Halomonas titanicae,38,105,13,8
Polyurethane,Halomonas titanicae,11,47,22,6
Polycarbonate,Alcanivorax borkumensis,98,87,28,6
Polyurethane,Ochrobactrum sp.,13,309,27,7
Polyethylene Terephthalate (PET),Ochrobactrum sp.,21,129,38,8
Polyurethane,Bacillus subtilis,50,258,12,5
Nylon,Alcanivorax borkumensis,22,314,29,7
Nylon,Ideonella sakaiensis,47,147,15,7
Polyethylene,Bacillus subtilis,70,72,25,6
Polyethylene Terephthalate (PET),Thermobifida fusca,49,140,29,9
Polyethylene,Pseudomonas aeruginosa,88,27,33,5
Polyethylene Terephthalate (PET),Bacillus subtilis,12,29,12,8
Polycarbonate,Sulfolobus acidocaldarius,84,271,21,7
Polycarbonate,Alcanivorax borkumensis,9,174,28,5
Polypropylene,Pseudomonas aeruginosa,54,253,28,6
Polyethylene Terephthalate (PET),Thermobifida fusca,8,60,33,7
Polyvinyl Chloride,Fusarium solani,78,107,13,7
Polyurethane,Streptomyces coelicolor,51,220,10,6
Polyethylene Terephthalate (PET),Streptomyces coelicolor,1,259,11,6
Polystyrene,Halomonas titanicae,24,146,22,6
Polypropylene,Sulfolobus acidocaldarius,12,52,39,5
Polystyrene,Citrobacter koseri,97,60,35,5
Nylon,Aspergillus niger,50,34,38,5
Polycarbonate,Thermobifida fusca,57,96,22,9
Polyurethane,Thermobifida fusca,33,89,39,7
Polyethylene Terephthalate (PET),Alcanivorax borkumensis,34,316,11,5
Polystyrene,Fusarium solani,2,231,39,9
Polyurethane,Pseudomonas aeruginosa,58,275,28,7
Nylon,Thermobifida fusca,69,246,31,5
Polycarbonate,Thermobifida fusca,47,111,33,6
Polyvinyl Chloride,Sulfolobus acidocaldarius,63,234,25,8
Polypropylene,Ochrobactrum sp.,18,278,21,5
Polyurethane,Ochrobactrum sp.,66,166,10,8
Polyurethane,Halomonas titanicae,81,128,18,5
Polyvinyl Chloride,Acidithiobacillus ferrooxidans,72,237,26,6
Polyurethane,Alcanivorax borkumensis,75,291,19,8
Nylon,Sulfolobus acidocaldarius,4,107,27,9
Nylon,Alcanivorax borkumensis,66,128,28,6
Polyvinyl Chloride,Acidithiobacillus ferrooxidans,10,195,16,8
Polypropylene,Aspergillus niger,93,339,34,8
Polyethylene Terephthalate (PET),Aspergillus niger,67,143,28,6
Polystyrene,Citrobacter koseri,68,111,33,6
Polyethylene Terephthalate (PET),Ochrobactrum sp.,0,90,24,6
Polyurethane,Ideonella sakaiensis,90,251,18,7
Polystyrene,Streptomyces coelicolor,91,280,19,9
Polyethylene,Ochrobactrum sp.,62,333,32,5
Polyvinyl Chloride,Bacillus subtilis,28,224,29,8
Polyvinyl Chloride,Bacillus alcalophilus,81,101,29,5
Polypropylene,Bacillus alcalophilus,11,132,13,6
Polystyrene,Alcanivorax borkumensis,76,13,15,9
Nylon,Acidithiobacillus ferrooxidans,40,98,13,9
Polystyrene,Citrobacter koseri,1,120,14,7
Polyurethane,Bacillus alcalophilus,36,293,18,6
Nylon,Bacillus subtilis,44,304,21,8
Polycarbonate,Halomonas titanicae,79,199,32,7
Polycarbonate,Bacillus alcalophilus,47,1,17,6
Polyethylene,Exiguobacterium sp.,23,60,30,7
Polycarbonate,Pseudomonas aeruginosa,98,250,14,5
Polyvinyl Chloride,Citrobacter koseri,21,140,38,6
Polystyrene,Halomonas titanicae,99,149,20,8
Polycarbonate,Thermobifida fusca,10,44,32,8
Polyethylene Terephthalate (PET),Sulfolobus acidocaldarius,57,186,20,6
Polypropylene,Halomonas titanicae,45,108,22,7
Polyethylene Terephthalate (PET),Streptomyces coelicolor,28,44,23,9
Polycarbonate,Sulfolobus acidocaldarius,34,78,37,6
Polyethylene,Ochrobactrum sp.,14,226,17,8
Polypropylene,Fusarium solani,59,162,34,5
Polyurethane,Pseudomonas aeruginosa,94,281,40,8
Polyethylene Terephthalate (PET),Pseudomonas aeruginosa,41,253,39,9
Polyethylene,Pseudomonas aeruginosa,42,132,27,8
Polystyrene,Acidithiobacillus ferrooxidans,79,144,28,9
Polystyrene,Pseudomonas aeruginosa,73,266,21,6
Polyethylene Terephthalate (PET),Alcanivorax borkumensis,48,109,21,8
Polycarbonate,Pseudomonas aeruginosa,63,194,27,7
Polyethylene,Bacillus subtilis,31,35,19,7
Polystyrene,Ochrobactrum sp.,63,275,16,8
Polyurethane,Pseudomonas aeruginosa,1,187,37,8
Nylon,Ideonella sakaiensis,23,243,27,5
Polycarbonate,Ochrobactrum sp.,86,264,21,8
Polyethylene,Pseudomonas aeruginosa,65,10,23,5
Polyurethane,Acidithiobacillus ferrooxidans,37,166,24,5
Polyethylene,Citrobacter koseri,30,29,25,5
Polypropylene,Alcanivorax borkumensis,25,271,11,5
Polyurethane,Acidithiobacillus ferrooxidans,28,87,39,6
Polycarbonate,Aspergillus niger,66,23,39,7
Polypropylene,Halomonas titanicae,77,210,27,5
Polycarbonate,Ideonella sakaiensis,24,46,40,7
Polystyrene,Ideonella sakaiensis,47,28,21,5
Nylon,Halomonas titanicae,64,26,25,7
Polycarbonate,Sulfolobus acidocaldarius,52,266,22,8
Polycarbonate,Citrobacter koseri,66,175,29,8
Polystyrene,Exiguobacterium sp.,89,4,26,7
Polyvinyl Chloride,Halomonas titanicae,17,311,27,5
Polystyrene,Thermobifida fusca,8,322,12,6
Polypropylene,Bacillus alcalophilus,37,67,32,7
Polystyrene,Exiguobacterium sp.,86,135,19,9
Polystyrene,Thermobifida fusca,20,55,10,6
Nylon,Pseudomonas aeruginosa,64,31,15,9
Polystyrene,Thermobifida fusca,20,74,12,7
Polyethylene,Pseudomonas aeruginosa,26,19,28,5
Polycarbonate,Alcanivorax borkumensis,69,156,13,9
Polyethylene,Exiguobacterium sp.,43,337,38,7
Nylon,Bacillus alcalophilus,99,156,29,6
Polyethylene Terephthalate (PET),Thermobifida fusca,27,147,32,5
Polyvinyl Chloride,Alcanivorax borkumensis,44,87,12,9
Polyethylene,Bacillus subtilis,16,20,17,7
Nylon,Acidithiobacillus ferrooxidans,39,269,17,5
Polypropylene,Ochrobactrum sp.,2,333,36,5
Polyethylene Terephthalate (PET),Ochrobactrum sp.,75,43,38,8
Nylon,Sulfolobus acidocaldarius,75,306,16,5
Nylon,Exiguobacterium sp.,65,28,11,7
Polyvinyl Chloride,Citrobacter koseri,45,260,30,6
Polycarbonate,Pseudomonas aeruginosa,85,22,15,8
Polyethylene,Ochrobactrum sp.,86,101,37,7
Polypropylene,Pseudomonas aeruginosa,29,39,25,7
Polyurethane,Streptomyces coelicolor,68,290,19,7
Polyethylene,Acidithiobacillus ferrooxidans,8,353,13,9
Polyurethane,Acidithiobacillus ferrooxidans,84,300,22,9
Nylon,Ochrobactrum sp.,10,170,19,6
Polystyrene,Alcanivorax borkumensis,68,296,30,7
Polypropylene,Aspergillus niger,98,353,23,9
Polyethylene Terephthalate (PET),Aspergillus niger,90,130,18,9
Polystyrene,Alcanivorax borkumensis,65,156,20,9
Polystyrene,Thermobifida fusca,87,74,32,6
Polyethylene,Thermobifida fusca,30,342,27,6
Polypropylene,Citrobacter koseri,32,90,20,7
Polycarbonate,Fusarium solani,38,67,26,8
Nylon,Alcanivorax borkumensis,93,236,11,7
Nylon,Citrobacter koseri,45,200,12,9
Nylon,Sulfolobus acidocaldarius,36,332,20,9
Nylon,Pseudomonas aeruginosa,91,227,27,5
Polyethylene,Bacillus alcalophilus,59,348,36,7
Polyurethane,Fusarium solani,30,233,12,9
Nylon,Exiguobacterium sp.,10,266,35,9
Polyurethane,Ideonella sakaiensis,86,86,24,8
Polyurethane,Fusarium solani,1,102,20,5
Polycarbonate,Bacillus alcalophilus,26,214,20,7
Nylon,Streptomyces coelicolor,98,108,40,6
Polyvinyl Chloride,Acidithiobacillus ferrooxidans,1,165,37,7
Polyethylene Terephthalate (PET),Pseudomonas aeruginosa,100,91,39,7
Polystyrene,Aspergillus niger,20,192,37,8
Polyurethane,Thermobifida fusca,57,335,34,7
Polypropylene,Citrobacter koseri,4,86,29,8
Polypropylene,Thermobifida fusca,51,222,37,8
Polyethylene Terephthalate (PET),Thermobifida fusca,44,363,34,9
Polypropylene,Thermobifida fusca,84,101,20,6
Polyvinyl Chloride,Alcanivorax borkumensis,92,226,28,8
